,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
65,현대 그랜저HG 240  럭셔리,차량번호 30고8992,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216834&gubun=K,2012.06,"119,110 km",가솔린,"2,359 cc (201마력)",흰색,만료,"9,999만원",333,,,,,,,,,,,등록,3,0,0,0,0,5,"19,384,069",0,0
66,현대 그랜저HG 하이브리드 2.4 HEV 프리미엄,차량번호 33두8682,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2208196&gubun=K,2014.04 (15년형),"200,110 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,699만원,18,무,무,유,유,유,유,무,유,무,유,등록,0,0,0,0,0,2,"8,582,050",1,"9,274,144"
67,현대 그랜저HG 240  모던,차량번호 11서5275,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216824&gubun=K,2015.04,"126,621 km",가솔린,"2,359 cc (190마력)",검정색,만료,"9,999만원",334,무,무,무,유,유,유,무,유,무,무,등록,5,0,0,0,0,4,"2,599,385",2,"786,070"
68,현대 디 올 뉴 그랜저 2.5 2WD  프리미엄,차량번호 261버1220,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216743&gubun=K,2023.03,"2,243 km",가솔린,"2,497 cc (198마력)",검정색,"60개월 / 100,000km","3,360만원",90,무,무,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,1,"12,213,620",0,0
69,현대 그랜저HG 240  럭셔리,차량번호 40구9119,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216645&gubun=K,2012.03,"139,554 km",가솔린,"2,359 cc (201마력)",검정색,만료,"9,999만원",333,,,,,,,,,,,등록,5,0,0,0,0,4,"3,952,866",2,"830,010"
70,현대 그랜저IG 3.0  익스클루시브,차량번호 27루6039,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216599&gubun=K,2017.02,"114,854 km",가솔린,"2,999 cc (266마력)",검정색,만료,"1,460만원",41,유,유,유,유,무,무,무,무,무,유,등록,2,0,0,0,0,4,"7,456,645",0,0
71,현대 그랜저IG 3.3  셀러브리티,차량번호 51누6969,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216414&gubun=K,2017.03 (18년형),"99,443 km",가솔린,"3,342 cc (290마력)",흰색,만료,"1,750만원",40,유,유,유,유,유,유,유,유,유,유,등록,7,0,0,0,0,1,"566,070",0,0
72,현대 그랜저HG 300 프라임,차량번호 56너6663,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216002&gubun=K,2011.01,"105,477 km",가솔린,"2,999 cc (270마력)",검정색,만료,670만원,20,무,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,3,"2,100,122",1,"297,210"
73,현대 그랜저HG 240  럭셔리,차량번호 59오7073,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215809&gubun=K,2011.05,"98,270 km",가솔린,"2,359 cc (201마력)",검정색,만료,760만원,25,유,유,유,유,무,유,무,유,무,무,등록,3,0,0,0,0,0,0,1,"508,680"
74,현대 그랜저HG 240 모던,차량번호 11모2508,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214757&gubun=K,2015.04,"113,623 km",가솔린,"2,359 cc (190마력)",흰색,만료,999만원,33,유,유,유,유,유,유,무,유,무,유,등록,7,0,0,0,0,7,"18,048,364",3,"2,727,873"
75,현대 그랜저HG 240 모던 컬렉션,차량번호 05더0321,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214367&gubun=K,2016.05,"88,554 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,130만원",36,유,유,유,유,유,유,무,유,무,유,등록,3,0,0,0,0,3,"2,825,721",1,"1,479,780"
76,현대 더 뉴 그랜저 3.3 캘리그래피,차량번호 183로1265,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214474&gubun=K,2021.01,"53,700 km",가솔린,"3,342 cc (290마력)",검정색,"60개월 / 100,000km","2,980만원",67,무,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,0,0,0,0
77,현대 더 뉴 그랜저 3.3  익스클루시브,차량번호 158다3444,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217186&gubun=K,2020.06,"74,970 km",가솔린,"3,342 cc (290마력)",검정색,정보없음,"2,520만원",64,무,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,0,0,0,0
78,현대 더 뉴 그랜저  3.3 프리미엄 초이스,차량번호 175구7985,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217019&gubun=K,2020.10,"41,786 km",가솔린,"3,342 cc (290마력)",검정색,정보없음,"2,640만원",72,무,무,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,0,0,0,0
79,현대 더 뉴 그랜저 2.5 르블랑,차량번호 193호5871,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217075&gubun=K,2022.11 (23년형),"30,000 km",가솔린,"2,497 cc (198마력)",흰색,"60개월 / 100,000km",400만원,소유,무,무,유,유,유,유,유,유,유,유,등록,0,0,0,0,0,0,0,0,0
80,현대 더 뉴 그랜저 2.5 르블랑,차량번호 171하1559,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216430&gubun=K,2022.05,"20,000 km",가솔린,"2,497 cc (198마력)",검정색,"60개월 / 100,000km",0원,소유,무,무,유,유,유,무,유,유,유,유,등록,,,,,,,,,
81,현대 그랜저HG 240  모던,차량번호 46조9741,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216656&gubun=K,2015.11 (16년형),"85,536 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,300만원",43,유,유,유,유,유,유,무,유,무,유,등록,3,0,0,0,0,1,"2,483,200",1,"17,900,000"
82,현대 그랜저HG 240  모던,차량번호 40저1602,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216659&gubun=K,2014.11 (15년형),"63,547 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,350만원",45,유,유,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,2,"1,722,468",0,0
83,현대 디 올 뉴 그랜저 2.5 2WD 캘리그래피,차량번호 341도8700,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216174&gubun=K,2022.12 (23년형),"13,448 km",가솔린,"2,497 cc (198마력)",흰색,"60개월 / 100,000km","4,500만원",준비중,유,유,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,0,0,0,0
84,현대 더 뉴 그랜저 하이브리드 2.4 HEV  르블랑,차량번호 184우9556,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216171&gubun=K,2021.09 (22년형),"41,164 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,530만원",87,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
85,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브 스페셜,차량번호 45구4602,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214632&gubun=K,2018.12 (19년형),"41,228 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,"60개월 / 100,000km","2,780만원",준비중,,,,,,,,,,,등록,1,0,0,0,0,2,"2,655,823",3,"2,797,980"
86,현대 더 뉴 그랜저 2.5 프리미엄 초이스,차량번호 365주5058,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214211&gubun=K,2020.04,"48,683 km",가솔린,"2,497 cc (198마력)",청색,정보없음,"2,650만원",78,,,,,,,,,,,등록,3,0,0,0,0,1,"617,800",1,"1,501,184"
87,현대 더 뉴 그랜저 3.3  캘리그래피,차량번호 112조1132,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216944&gubun=K,2021.04,"38,244 km",가솔린,"3,342 cc (290마력)",흰색,"60개월 / 100,000km","3,290만원",74,유,유,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,1,"752,579",1,"838,829"
88,현대 더 뉴 그랜저 하이브리드 2.4 HEV 프리미엄 초이스,차량번호 309마3215,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213996&gubun=K,2020.03,"45,615 km",가솔린 하이브리드,"2,359 cc (200마력)",흰색,"60개월 / 100,000km","3,320만원",87,유,유,유,유,유,유,무,유,무,유,등록,1,0,0,0,0,0,0,0,0
89,현대 더 뉴 그랜저 2.5 익스클루시브,차량번호 354더2357,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2207108&gubun=K,2020.06,"42,612 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,"2,450만원",66,,,,,,,,,,,등록,4,0,0,0,0,4,"2,608,179",1,0
90,현대 그랜저IG 2.4  프리미엄 스페셜,차량번호 39머4892,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216799&gubun=K,2018.05 (19년형),"40,141 km",가솔린,"2,359 cc (190마력)",흰색,만료,"2,350만원",69,유,유,무,무,무,무,무,무,무,무,등록,1,0,0,0,0,2,"1,579,161",1,"875,140"
91,현대 디 올 뉴 그랜저 2.5 2WD  캘리그래피,차량번호 160어6537,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216790&gubun=K,2022.12 (23년형),"11,735 km",가솔린,"2,497 cc (198마력)",흰색,"60개월 / 100,000km","4,699만원",준비중,유,유,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,0,0,0,0
92,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브 스페셜,차량번호 32구7112,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213578&gubun=K,2019.06,"68,144 km",가솔린 하이브리드,"2,359 cc (199마력)",흰색,"60개월 / 100,000km","2,670만원",준비중,유,유,유,유,유,유,유,유,유,유,등록,3,0,0,0,0,1,"2,881,748",0,0
93,현대 그랜저TG Q240 기본형,차량번호 45러2198,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217167&gubun=K,2008.01,"139,000 km",가솔린,"2,359 cc (164마력)",검정색,불가,300만원,11,무,무,무,무,무,무,무,무,무,유,등록,,,,,,,,,
94,현대 더 뉴 그랜저  2.5 프리미엄   ,차량번호 180러9364,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216928&gubun=K,2022.07 (23년형),"37,347 km",가솔린,"2,497 cc (198마력)",검정색,"60개월 / 100,000km","2,790만원",84,무,무,유,유,유,유,무,유,무,유,등록,3,0,0,0,0,1,0,0,0
95,현대 그랜저  2.4 -  ,차량번호 13우8985,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215704&gubun=K,1991.08,"72,473 km",가솔린,"2,351 cc (130마력)",검정색,불가,780만원,준비중,,,,,,,,,,,미등록,,,,,,,,,
96,현대 디 올 뉴 그랜저  3.5 2WD 캘리그래피   ,차량번호 263어9567,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215189&gubun=K,2022.12 (23년형),"2,580 km",가솔린,"3,470 cc (300마력)",흰색 (세레니티 화이트 펄),"60개월 / 100,000km","5,290만원",준비중,유,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
97,현대 더 뉴 그랜저 하이브리드  2.4 HEV 르블랑,차량번호 156호6765,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2211993&gubun=K,2021.11 (22년형),"49,800 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km",0원,소유,무,유,유,유,유,유,무,유,무,유,등록,0,0,0,0,0,0,0,0,0
98,현대 더 뉴 그랜저 하이브리드 2.4 HEV  르블랑,차량번호 165하9556,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216420&gubun=K,2022.01,"28,000 km",가솔린 하이브리드,"2,359 cc (200마력)",진회색,"60개월 / 100,000km",1000만원,소유,무,무,유,유,유,유,유,유,유,유,등록,0,0,0,0,0,0,0,0,0
99,현대 그랜저HG 220 디젤 프리미엄,차량번호 100머6567,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214859&gubun=K,2015.01,"189,500 km",디젤,"2,199 cc (202마력)",회색,만료,890만원,26,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
100,현대 더 뉴 그랜저 3.3  익스클루시브,차량번호 180하1595,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216370&gubun=K,2023.11,10 km,가솔린,"3,470 cc (290마력)",검정색,"60개월 / 100,000km",0원,소유,,,,,,,,,,,등록,,,,,,,,,
101,현대 뉴그랜져  2.5 V6  ,차량번호 56로6797,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191953&gubun=K,1997.05,"95,000 km",가솔린,"2,497 cc (173마력)",흰색,불가,280만원,10,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
102,현대 더 뉴 그랜저 2.5 르블랑,차량번호 166서1900,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215937&gubun=K,2022.02,"52,349 km",가솔린,"2,497 cc (198마력)",흰색,"60개월 / 100,000km","3,100만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,0,0,0,0
103,현대 디 올 뉴 그랜저  2.5 2WD 캘리그래피   ,차량번호 377어2233,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2208927&gubun=K,2022.12 (23년형),"4,055 km",가솔린,"2,497 cc (198마력)",기타색상 (밤부 챠콜 그린펄),"60개월 / 100,000km","4,390만원",준비중,유,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,1,"86,310",1,"1,154,933"
104,현대 그랜저IG 2.2 디젤 프리미엄 스페셜,차량번호 62무5184,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215221&gubun=K,2017.05,"167,000 km",디젤,"2,199 cc (202마력)",회색,만료,"1,400만원",38,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
105,현대 더 뉴 그랜저 하이브리드 2.4 HEV 익스클루시브,차량번호 347서8213,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215966&gubun=K,2020.12 (21년형),"42,600 km",가솔린 하이브리드,"2,359 cc (200마력)",흰색,"60개월 / 100,000km","3,440만원",82,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
106,현대 더 뉴 그랜저 2.5  프리미엄,차량번호 188러5374,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213695&gubun=K,2021.02,"68,375 km",가솔린,"2,497 cc (198마력)",검정색,"60개월 / 100,000km","2,560만원",77,유,무,유,유,유,유,무,유,무,유,등록,1,0,0,0,0,1,"1,090,619",1,"6,060,200"
107,현대 그랜저HG 240  럭셔리,차량번호 19오3527,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215695&gubun=K,2011.05,"121,279 km",가솔린,"2,359 cc (201마력)",은색,만료,750만원,25,무,유,무,유,유,유,무,유,무,무,등록,8,0,0,0,0,1,"2,389,210",2,"1,058,120"
108,현대 그랜저IG 2.4  프리미엄,차량번호 142마5077,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216744&gubun=K,2016.12 (17년형),"220,330 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,050만원",33,무,무,무,유,무,무,무,무,무,유,등록,3,0,0,0,0,1,"1,098,250",0,0
109,현대 그랜저HG 240  럭셔리,차량번호 69거8471,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216742&gubun=K,2011.06,"140,516 km",가솔린,"2,359 cc (201마력)",은색,만료,500만원,16,무,무,무,유,무,무,무,무,무,무,등록,1,0,0,0,0,5,"3,940,446",3,"1,200,332"
110,현대 더 럭셔리 그랜저 Q270  럭셔리 스마트팩,차량번호 334어9463,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215398&gubun=K,2009.02,"280,000 km",가솔린,"2,656 cc (195마력)",검정색,만료,350만원,10,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
111,현대 그랜저HG 300 LPi  모범형,차량번호 350마6513,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216518&gubun=K,2014.10 (15년형),"443,000 km",LPG,"2,999 cc (235마력)",회색,불가,380만원,준비중,무,무,유,무,유,유,무,유,무,유,등록,,,,,,,,,
112,현대 그랜저HG  300 로얄   ,차량번호 31소1290,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177999&gubun=K,2012.02,"233,000 km",가솔린,"2,999 cc (270마력)",검정색,불가,590만원,15,무,유,유,유,유,유,유,유,무,유,미등록,,,,,,,,,
113,현대 더 뉴 그랜저 2.5 익스클루시브,차량번호 373조5131,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215606&gubun=K,2020.07,"47,100 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,"3,030만원",82,무,유,무,무,무,무,무,무,무,유,등록,,,,,,,,,
114,현대 더 뉴 그랜저 3.3 익스클루시브,차량번호 170하3852,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216193&gubun=K,2020.09,"60,837 km",가솔린,"3,342 cc (290마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
115,현대 더 뉴 그랜저  3.0 LPi  모던   ,차량번호 105하6782,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214899&gubun=K,2021.07 (22년형),"84,411 km",LPG,"2,999 cc (235마력)",검정색,정보없음,"2,230만원",78,무,유,유,무,무,유,무,유,무,유,등록,,,,,,,,,
116,현대 그랜저IG  2.4 프리미엄  ,차량번호 348보6875,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212935&gubun=K,2018.02,"73,000 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,980만원",61,무,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
117,현대 디 올 뉴 그랜저 2.5 2WD 캘리그래피,차량번호 150고6598,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215390&gubun=K,2023.01,"8,080 km",가솔린,"2,497 cc (198마력)",흰색,"60개월 / 100,000km","4,700만원",준비중,유,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
118,현대 그랜저IG 2.2 디젤 프리미엄,차량번호 181버3040,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2165589&gubun=K,2018.03,"53,900 km",디젤,"2,199 cc (202마력)",진청색,만료,"1,690만원",48,무,무,유,유,유,유,무,유,무,유,등록,4,0,0,0,0,4,"5,162,996",1,"2,526,800"
119,현대 더 뉴 그랜저 3.3 프리미엄 초이스,차량번호 179두1412,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214890&gubun=K,2020.09,"11,275 km",가솔린,"3,342 cc (290마력)",검정색,불가,"3,200만원",87,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
120,현대 그랜저IG  3.0 익스클루시브 스페셜   ,차량번호 143버4698,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205471&gubun=K,2017.08 (18년형),"103,000 km",가솔린,"2,999 cc (266마력)",검정색,만료,"1,850만원",47,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
121,현대 그랜저HG  300 노블   ,차량번호 57오6927,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201123&gubun=K,2011.01,"135,000 km",가솔린,"2,999 cc (270마력)",검정색,불가,750만원,21,무,유,유,유,유,유,유,유,무,유,등록,,,,,,,,,
122,현대 그랜저HG 하이브리드  2.4 HEV 프리미엄  ,차량번호 32저2698,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2193076&gubun=K,2015.01,"119,000 km",가솔린 하이브리드,"2,359 cc (199마력)",흰색,만료,"1,230만원",33,무,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
123,현대 그랜저HG  300 LPi 프라임   ,차량번호 21주0262,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191680&gubun=K,2012.12,"251,000 km",LPG,"2,999 cc (235마력)",은색,만료,700만원,준비중,무,유,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
124,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD CVX 디럭스,차량번호 82저4196,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214252&gubun=K,2015.04 (16년형),"258,126 km",디젤,"2,497 cc (174마력)",진회색,만료,595만원,30,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
125,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 디럭스,차량번호 839더9301,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214254&gubun=K,2012.09,"255,056 km",디젤,"2,497 cc (174마력)",진회색,만료,430만원,21,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
126,현대 그랜드스타렉스  캠핑카 -   ,차량번호 80나9145,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2207385&gubun=K,2012.06,"94,155 km",디젤,"2,497 cc (174마력)",회색,불가,"2,290만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
127,현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD 스마트   ,차량번호 86고0930,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215622&gubun=K,2017.07 (18년형),"129,461 km",디젤,"2,497 cc (175마력)",검정색,불가,"1,399만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
128,현대 그랜드스타렉스  어린이버스 디젤 15인승 2WD CVX 럭셔리   ,차량번호 71러1717,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216830&gubun=K,2015.06,"191,316 km",디젤,"2,497 cc ()",노란색,불가,899만원,준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
129,현대 더 뉴 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD 스마트  ,차량번호 712러2492,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216993&gubun=K,2018.04,"75,516 km",디젤,"2,497 cc (175마력)",회색,정보없음,"2,099만원",79,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
130,현대 그랜드스타렉스 2.5 디젤 왜건 11인승 2WD CVX 프리미엄,차량번호 72두2898,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2211733&gubun=K,2013.04 (14년형),"114,567 km",디젤,"2,497 cc (174마력)",회색,만료,"1,260만원",55,무,무,유,무,무,유,무,무,무,무,등록,4,0,0,0,0,0,0,1,"580,270"
131,현대 그랜드스타렉스 2.5 디젤 왜건 12인승 2WD CVX 럭셔리,차량번호 78오8592,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216375&gubun=K,2012.11 (13년형),"67,900 km",디젤,"2,497 cc (175마력)",회색,정보없음,"1,160만원",준비중,유,무,유,무,무,유,무,유,무,무,등록,2,0,0,0,0,3,"2,261,416",1,"276,970"
132,현대 그랜드스타렉스 2.5 디젤 왜건 12인승 2WD CVX 프리미엄,차량번호 79보2901,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215270&gubun=K,2013.05 (14년형),"168,214 km",디젤,"2,497 cc (175마력)",흰색,정보없음,770만원,준비중,,,,,,,,,,,등록,2,0,0,0,0,6,"5,916,195",1,"3,273,500"
133,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 럭셔리,차량번호 83버7660,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217056&gubun=K,2014.05 (15년형),"268,680 km",디젤,"2,497 cc (174마력)",은색,만료,560만원,26,,,,,,,,,,,등록,1,0,0,0,0,1,0,0,0
134,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승  스타일,차량번호 80어0270,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217057&gubun=K,2018.10 (19년형),"66,000 km",디젤,"2,497 cc (175마력)",은색,정보없음,"1,480만원",63,,,,,,,,,,,등록,2,0,0,0,0,5,"3,163,747",2,"2,343,072"
135,현대 그랜드스타렉스 2.5 디젤 왜건 12인승 2WD CVX 디럭스,차량번호 70부4908,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2211646&gubun=K,2015.07 (16년형),"159,041 km",디젤,"2,497 cc (175마력)",은색,정보없음,940만원,준비중,,,,,,,,,,,등록,4,0,0,0,0,2,"553,496",3,"4,209,688"
136,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 디럭스,차량번호 83보1800,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215800&gubun=K,2015.04 (16년형),"267,063 km",디젤,"2,497 cc (174마력)",흰색,만료,650만원,32,,,,,,,,,,,등록,1,0,0,0,0,3,"3,286,654",2,"10,396,850"
137,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD 모던,차량번호 84고8110,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210120&gubun=K,2016.07 (17년형),"133,095 km",디젤,"2,497 cc (175마력)",은색,정보없음,930만원,준비중,무,무,유,무,무,유,무,유,무,무,등록,4,0,0,0,0,2,"825,818",0,0
138,현대 더 뉴 그랜드스타렉스 2.5 디젤 캠핑카  2WD,차량번호 99서9051,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214967&gubun=K,2018.04 (19년형),"44,496 km",디젤,"2,497 cc (175마력)",진청색,정보없음,"2,300만원",준비중,무,무,유,무,무,유,무,유,무,유,등록,2,0,0,0,0,0,0,0,0
139,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승 스마트,차량번호 95오0671,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216000&gubun=K,2019.02,"12,467 km",디젤,"2,497 cc (175마력)",검정색,정보없음,"2,290만원",96,무,무,유,무,무,유,무,유,무,유,등록,1,0,0,0,0,0,0,0,0
140,현대 그랜드스타렉스  캠핑카 -   ,차량번호 94마5959,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205212&gubun=K,2012.12 (13년형),"236,309 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,280만원",준비중,무,무,유,무,무,무,무,유,무,무,미등록,,,,,,,,,
141,현대 그랜드스타렉스  어린이보호차 디젤 15인승 4WD  ,차량번호 78어1159,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204001&gubun=K,2017.01,"68,644 km",디젤,"2,497 cc ()",노란색,불가,"1,995만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
142,현대 그랜드스타렉스  캠핑카 -   ,차량번호 981가2390,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213138&gubun=K,2011.11 (12년형),"210,000 km",디젤,"2,497 cc (174마력)",흰색,불가,"1,995만원",준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
