,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
47,현대 그랜저HG 240  모던,차량번호 69로2244,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214223&gubun=K,2013.08 (14년형),"152,136 km",가솔린,"2,359 cc (201마력)",검정색,만료,599만원,20,,,,,,,,,,,등록,6,0,0,0,0,5,"8,986,260",4,"2,637,630"
48,현대 그랜저IG 2.4  프리미엄 스페셜,차량번호 38거2139,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214959&gubun=K,2017.10 (18년형),"89,503 km",가솔린,"2,359 cc (190마력)",흰색,만료,"2,230만원",65,유,무,유,유,유,유,무,유,무,유,등록,4,0,0,0,0,0,0,2,"2,340,951"
49,현대 그랜저IG 하이브리드  2.4 HEV 익스클루시브 스페셜,차량번호 374노3452,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204309&gubun=K,2017.07 (18년형),"164,000 km",가솔린 하이브리드,"2,359 cc (199마력)",회색,만료,"1,690만원",40,유,무,유,유,유,유,유,유,유,유,등록,4,0,0,0,0,2,"801,054",0,0
50,현대 그랜저HG 300 LPi 모던,차량번호 311보5266,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210116&gubun=K,2013.10 (14년형),"168,480 km",LPG,"2,999 cc (235마력)",검정색,만료,750만원,준비중,무,무,유,무,무,무,무,유,무,무,등록,1,0,0,0,0,6,"4,194,059",0,0
51,현대 그랜저IG 2.4  프리미엄,차량번호 02도8399,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216132&gubun=K,2017.04 (18년형),"80,689 km",가솔린,"2,359 cc (190마력)",진회색,만료,"1,780만원",55,무,무,유,유,유,유,무,유,무,유,등록,3,0,0,0,0,0,0,2,"1,406,811"
52,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 캘리그래피,차량번호 152허1929,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203530&gubun=K,2023.04,10 km,가솔린 하이브리드,"1,598 cc ()",흰색,정보없음,0원,소유,,,,,,,,,,,등록,,,,,,,,,
53,현대 디 올 뉴 그랜저 하이브리드 1.6 터보 HEV 캘리그래피,차량번호 200호9050,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212205&gubun=K,2023.09,10 km,가솔린 하이브리드,"1,598 cc ()",흰색,정보없음,0원,소유,,,,,,,,,,,등록,,,,,,,,,
54,현대 그랜저IG  3.0 익스클루시브,차량번호 21소6246,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214118&gubun=K,2017.07 (18년형),"140,000 km",가솔린,"2,999 cc (266마력)",흰색,만료,"1,490만원",41,유,유,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,3,"3,585,900",1,0
55,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 170허7138,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217042&gubun=K,2021.04,"54,800 km",가솔린,"2,497 cc (198마력)",진청색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
56,현대 더 뉴 그랜저 3.0 LPi  모던,차량번호 190허2386,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215839&gubun=K,2021.09 (22년형),"51,900 km",LPG,"2,999 cc (235마력)",검정색,정보없음,0원,소유,무,무,유,무,유,유,무,유,무,유,등록,,,,,,,,,
57,현대 그랜저IG 3.0  프리미엄,차량번호 309라5321,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216148&gubun=K,2019.02,"86,947 km",가솔린,"2,999 cc (266마력)",검정색,"60개월 / 100,000km","1,980만원",56,무,무,유,유,유,유,무,유,무,유,등록,3,0,0,0,0,0,0,1,"389,870"
58,현대 그랜저HG 300 프리미엄,차량번호 28어4888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215893&gubun=K,2013.01,"91,806 km",가솔린,"2,999 cc (270마력)",검정색,만료,780만원,23,무,무,유,유,무,유,무,유,유,유,등록,3,0,0,0,0,5,"7,023,460",2,"4,223,283"
59,현대 더 뉴 그랜저 3.3 익스클루시브,차량번호 250보5493,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214905&gubun=K,2020.08,"85,722 km",가솔린,"3,342 cc (290마력)",검정색,정보없음,"2,360만원",60,유,유,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,3,"10,397,611",0,0
60,현대 그랜저HG 300 프라임,차량번호 43도9442,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213920&gubun=K,2012.01,"94,425 km",가솔린,"2,999 cc (270마력)",검정색,만료,740만원,22,무,무,유,유,무,유,무,유,무,유,등록,1,0,0,0,0,2,"684,666",1,"619,499"
61,현대 더 뉴 그랜저 3.3 익스클루시브,차량번호 209무6447,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201728&gubun=K,2020.05,"37,667 km",가솔린,"3,342 cc (290마력)",진회색,정보없음,"2,299만원",58,무,무,유,유,무,유,무,유,유,유,등록,4,0,0,0,0,4,"3,057,469",3,"2,633,999"
62,현대 그랜저IG 2.4  프리미엄,차량번호 214무5625,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216926&gubun=K,2019.07,"70,784 km",가솔린,"2,359 cc (190마력)",진회색,"60개월 / 100,000km","1,460만원",45,무,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,3,"25,419,007",5,"10,904,242"
63,현대 그랜저IG 2.4  모던,차량번호 25다8100,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216925&gubun=K,2017.04 (18년형),"60,195 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,560만원",50,유,유,유,유,무,유,무,유,무,유,등록,1,0,0,0,0,2,"1,699,718",1,"870,162"
64,현대 더 뉴 그랜저 3.3 프리미엄 초이스,차량번호 240나8774,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216922&gubun=K,2020.03,"78,447 km",가솔린,"3,342 cc (290마력)",검정색,정보없음,"1,820만원",49,무,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,2,"20,084,735",0,0
